beschreibung,alter,leistung,nutzung,schaltung,tank,co2,alles,verkaufer,ort,nation,price (euro),km,consumption (per 100km),brand,users
325 i cabrio futura,"Lederlenkrad, Innenspiegel automatisch abblendend, Navigationssystem, LED-Tagfahrlicht, Sitzheizung, Wegfahrsperre, ABS, Seitenairbag",160 kW (218 PS),Gebraucht,Automatik,Benzin,181 g/km (komb.),"ZurückWeiter1 / 15BMW 325 325 i cabrio futuraLederlenkrad, Innenspiegel automatisch abblendend, Navigationssystem, LED-Tagfahrlicht, Sitzheizung, Wegfahrsperre, ABS, SeitenairbagMerkenTeilen€ 18.800,-101.000 km03/2011160 kW (218 PS)Gebraucht1 FahrzeughalterAutomatikBenzin7,2 l/100 km (komb.)181 g/km (komb.)",Autoequipe Spa(105),UFFICIO VENDITE VETTURE USATE • IT-00178 Roma - Rm,italien,18800,101000,"7,2",BMW,1
cdi Sport auto E6,"Panoramadach, Getönte Scheiben, Elektrische Seitenspiegel, Reifendruckkontrollsystem, Klimaautomatik, Armlehne, Kopfairbag, Regensensor",66 kW (90 PS),Gebraucht,Automatik,Diesel,103 g/km (komb.),"ZurückWeiter1 / 8Mercedes-Benz A 160 cdi Sport auto E6Panoramadach, Getönte Scheiben, Elektrische Seitenspiegel, Reifendruckkontrollsystem, Klimaautomatik, Armlehne, Kopfairbag, Regensensor€ 19.500,-53.000 km02/201666 kW (90 PS)Gebraucht1 FahrzeughalterAutomatikDiesel4 l/100 km (komb.)103 g/km (komb.)",Autoazzurra Store Srl di Guastalla(2),Emanuele Zambelli • IT-42016 Guastalla - Reggio Emilia,italien,19500,53000,4,Mercedes-Benz,1
90 2.2 TD5 - 69.000 km,"Vuoi vendere la tua auto, ch",90 kW (122 PS),Gebraucht,Schaltgetriebe,Diesel,269 g/km (komb.),"Land Rover Defender 90 2.2 TD5 - 69.000 kmVuoi vendere la tua auto, ch€ 26.900,-69.000 km04/200590 kW (122 PS)Gebraucht1 FahrzeughalterSchaltgetriebeDiesel10,2 l/100 km (komb.)269 g/km (komb.)",Rattix Srl - Ratti Auto(97),Pierpaolo Provetti • IT-20874 Busnago - Monza Brianza - Mb,italien,26900,69000,"10,2",Land,1
7ª serie 2.0 TDI DSG 5p. Executive BlueMotion Tec,Anche su WhatsApp 3499094374,110 kW (150 PS),Gebraucht,Automatik,Diesel,114 g/km (komb.),"Volkswagen Golf 7ª serie 2.0 TDI DSG 5p. Executive BlueMotion TecAnche su WhatsApp 3499094374€ 20.700,-69.998 km11/2017110 kW (150 PS)Gebraucht1 FahrzeughalterAutomatikDiesel4,6 l/100 km (komb.)114 g/km (komb.)",Autocentro Olgiata Srl(91),Gianluca Maruccio • IT-00123 Roma - Rm,italien,20700,69998,"4,6",Volkswagen,1
Recharge Twin Motor Plus,12/2022,300 kW (408 PS),Neu,Automatik,Elektro,0 g/km (komb.),"ElektrischVolvo XC40 Recharge Twin Motor Plus€ 54.117,-- km12/2022300 kW (408 PS)Neu- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)23,9 kWh/100 km (komb.)",Valentino Automobili Roma Srl(36),Carlo Graus • IT-00156 Roma - Rm,italien,,,,Volvo,0
Plus 1.2  Ultimate,10/2019,- kW (- PS),Gebraucht,Schaltgetriebe,Benzin,114 g/km (komb.),"Ford Ka/Ka+ Plus 1.2  Ultimate€ 13.500,-19.328 km10/2019- kW (- PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin5 l/100 km (komb.)114 g/km (komb.)",Varco Spa(49),VARCO Autusato • IT-20142 Milano-MI,italien,13500,19328,5,Ford,1
Comfort Plus Electric 45,"Navigationssystem, ESP, Elektrische Seitenspiegel, Elektr. Fensterheber, ABS, USB, Servolenkung, Radio",18 kW (24 PS),Gebraucht,Automatik,Elektro,0 g/km (komb.),"ElektrischDacia Spring Comfort Plus Electric 45Navigationssystem, ESP, Elektrische Seitenspiegel, Elektr. Fensterheber, ABS, USB, Servolenkung, Radio€ 17.629,-13.366 km09/202118 kW (24 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Siena Motori Srl(25),Riccardo Rossi • IT-53100 Siena - Si,italien,,13366,,Dacia,0
NEW MAXI 35 XLH1 2.3 M-JET BOX 2 POSTI - 2015,CHIAMA ORA 080872220,109 kW (148 PS),Gebraucht,Schaltgetriebe,Diesel,- (g/km),"Fiat Ducato NEW MAXI 35 XLH1 2.3 M-JET BOX 2 POSTI - 2015CHIAMA ORA 080872220€ 16.490,-170.803 km04/2015109 kW (148 PS)Gebraucht1 FahrzeughalterSchaltgetriebeDiesel- (l/100 km)- (g/km)",Car Promotion Srl(106),Colombo Pietro • IT-22063 Cantù - Como - Co,italien,16490,170803,,Fiat,1
1.4 Turbo T-Jet 180CV  Competizione,PRONTA CONSEGNA | RICEVILA A CASA TUA ENTRO 10 GIORNI,132 kW (179 PS),Gebraucht,Schaltgetriebe,Benzin,139 g/km (komb.),"Abarth 595 1.4 Turbo T-Jet 180CV  CompetizionePRONTA CONSEGNA | RICEVILA A CASA TUA ENTRO 10 GIORNI€ 15.999,-58.025 km04/2015132 kW (179 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin6 l/100 km (komb.)139 g/km (komb.)",Rossi Srl Nuovo(28),Relazioni Clienti • IT-06121 Perugia - Pg,italien,15999,58025,6,Abarth,0
GT AMG C,06/2018,409 kW (556 PS),Gebraucht,Automatik,Benzin,284 g/km (komb.),"Mercedes-Benz AMG GT GT AMG C€ 137.000,-12.000 km06/2018409 kW (556 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin12,5 l/100 km (komb.)284 g/km (komb.)",Stemacar srl(7),Marco sterbini • IT-00065 Fiano Romano - Rm,italien,137000,12000,"12,5",Mercedes-Benz,0
SPB 30 TFSI S line edition,"Spoiler, Sportfahrwerk, LED-Scheinwerfer, Navigationssystem, Alufelgen, Klimaautomatik, Regensensor, DAB-Radio",81 kW (110 PS),Gebraucht,Schaltgetriebe,Benzin,106 g/km (komb.),"Audi A3 SPB 30 TFSI S line editionSpoiler, Sportfahrwerk, LED-Scheinwerfer, Navigationssystem, Alufelgen, Klimaautomatik, Regensensor, DAB-Radio€ 30.000,-12.892 km07/202181 kW (110 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin5,1 l/100 km (komb.)106 g/km (komb.)",Saottini Auto Nuovo(94),Responsabile Vendite • IT-25135 Brescia,italien,30000,12892,"5,1",Audi,0
"d 5p. Urban RADIO PROFESSIONAL,CLIMA AUTO,FENDINEB","Bluetooth, Wegfahrsperre, USB, Servolenkung, ABS, MP3, Zentralverriegelung, ESP",135 kW (184 PS),Gebraucht,Automatik,Diesel,119 g/km (komb.),"BMW 120 d 5p. Urban RADIO PROFESSIONAL,CLIMA AUTO,FENDINEBBluetooth, Wegfahrsperre, USB, Servolenkung, ABS, MP3, Zentralverriegelung, ESP€ 13.600,-91.500 km03/2013135 kW (184 PS)Gebraucht1 FahrzeughalterAutomatikDiesel3 l/100 km (komb.)119 g/km (komb.)",AutoQuarta(88),Ing. Stefano Quarta • IT-73047 Monteroni Di Lecce - Lecce - Le,italien,13600,91500,3,BMW,1
1.5 T-GDi 160 CV MHEV iMT Business,Finanziabile con Polizza Furto/Incendio Kasko 5 Anni!,118 kW (160 PS),Neu,Schaltgetriebe,Elektro/Benzin,121 g/km (komb.),"HybridKia XCeed 1.5 T-GDi 160 CV MHEV iMT BusinessFinanziabile con Polizza Furto/Incendio Kasko 5 Anni!€ 22.190,-- km- (Erstzulassung)118 kW (160 PS)Neu- (Fahrzeughalter)SchaltgetriebeElektro/Benzin5 l/100 km (komb.)121 g/km (komb.)",MM Motors Novara - Amauto di Costantino Daniel(62),Daniel Costantino • IT-28066 Galliate - Novara - NO,italien,,,5,Kia,0
Classe E Coupe 250 cdi be Avantgarde,MERCEDES-BENZ Classe E Coupe 250 cdi be Avantgarde,150 kW (204 PS),Gebraucht,Schaltgetriebe,Diesel,1 g/km (komb.),"Mercedes-Benz E 250 Classe E Coupe 250 cdi be AvantgardeMERCEDES-BENZ Classe E Coupe 250 cdi be Avantgarde€ 17.900,-179.469 km12/2011150 kW (204 PS)Gebraucht1 FahrzeughalterSchaltgetriebeDiesel5,1 l/100 km (komb.)1 g/km (komb.)",CentroautoVT Srl(219),Roberto Russo • IT-58100 Grosseto - Gr,italien,17900,179469,"5,1",Mercedes-Benz,1
1.6 16V 126 CV Bi-Fuel GPL *SEDE GUASTALLA*,02/2021,93 kW (126 PS),Gebraucht,Schaltgetriebe,Autogas (LPG),164 g/km (komb.),"EVO EVO5 1.6 16V 126 CV Bi-Fuel GPL *SEDE GUASTALLA*€ 16.500,-54.895 km02/202193 kW (126 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeAutogas (LPG)7,1 l/100 km (komb.)164 g/km (komb.)",Bernasconi Auto Snc(31),Sig Michele • IT-22100 Montano Lucino - Como - Co,italien,16500,54895,"7,1",EVO,0
Comfort Electric 45,"ABS, Elektrische Seitenspiegel, USB, Bluetooth, Beifahrerairbag",18 kW (24 PS),Gebraucht,Automatik,Elektro,0 g/km (komb.),"ElektrischDacia Spring Comfort Electric 45ABS, Elektrische Seitenspiegel, USB, Bluetooth, Beifahrerairbag€ 17.366,-11.562 km09/202118 kW (24 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",DM Motor srl(6),Diego Mariotti • IT-00125 Roma - Rm,italien,,11562,,Dacia,0
1.5 Hybrid DCT 5 porte Cross,"Abstandstempomat, teilb. Rücksitzbank, Nebelscheinwerfer, Zentralverriegelung mit Funkfernbedienung, Kopfairbag, Getönte Scheiben, Touchscreen, LED-Scheinwerfer",96 kW (131 PS),Gebraucht,Halbautomatik,Elektro/Benzin,- (g/km),"HybridFiat Tipo 1.5 Hybrid DCT 5 porte CrossAbstandstempomat, teilb. Rücksitzbank, Nebelscheinwerfer, Zentralverriegelung mit Funkfernbedienung, Kopfairbag, Getönte Scheiben, Touchscreen, LED-Scheinwerfer€ 25.900,-1 km11/202296 kW (131 PS)Gebraucht1 FahrzeughalterHalbautomatikElektro/Benzin- (l/100 km)- (g/km)",Automaster Uno Spa(17),Silvia • IT-44121 Ferrara - FE,italien,,1,,Fiat,1
1.5 130 CV MHEV DDCT7 Edizione Speciale,"teilb. Rücksitzbank, Abstandstempomat, Alufelgen, Schaltwippen, Elektrische Heckklappe, Navigationssystem, Schlüssellose Zentralverriegelung, Einparkhilfe Kamera",96 kW (131 PS),Gebraucht,Automatik,Elektro/Benzin,- (g/km),"HybridAlfa Romeo Tonale 1.5 130 CV MHEV DDCT7 Edizione Specialeteilb. Rücksitzbank, Abstandstempomat, Alufelgen, Schaltwippen, Elektrische Heckklappe, Navigationssystem, Schlüssellose Zentralverriegelung, Einparkhilfe Kamera€ 40.950,-1.828 km06/202296 kW (131 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin- (l/100 km)- (g/km)",Rossi Srl km0(11),Info Vendita • IT-01100 Viterbo VT,italien,,1828,,Alfa,0
cross,"LED-Scheinwerfer, Einparkhilfe Kamera, Fahrerairbag, Multifunktionslenkrad, Abstandstempomat, Spurhalteassistent, Zentralverriegelung, Armlehne",74 kW (101 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Fiat Tipo crossLED-Scheinwerfer, Einparkhilfe Kamera, Fahrerairbag, Multifunktionslenkrad, Abstandstempomat, Spurhalteassistent, Zentralverriegelung, Armlehne€ 19.700,-8.000 km04/202174 kW (101 PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin- (l/100 km)- (g/km)",Emv Auto Srl(53),Margherita Brussa • IT-50142 Firenze,italien,19700,8000,,Fiat,1
ecosport 1.0 ecoboost Plus 100cv,1000€ di PROMO per acquisto con finanziament,92 kW (125 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Ford EcoSport ecosport 1.0 ecoboost Plus 100cv1000€ di PROMO per acquisto con finanziament€ 16.300,-34.946 km10/201992 kW (125 PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin- (l/100 km)- (g/km)",Paderno Motori Srl(188),Andrea Arosio • IT-20037 Paderno Dugnano – Milano – Mi,italien,16300,34946,,Ford,1
BlueHDi 130 aut. So Chic,"Getönte Scheiben, LED-Scheinwerfer, Regensensor, Elektronische Parkbremse, Armlehne, Seitenairbag, Klimaautomatik, Kopfairbag",96 kW (131 PS),Gebraucht,Automatik,Diesel,- (g/km),"ZurückWeiter1 / 19DS Automobiles DS 3 Crossback BlueHDi 130 aut. So ChicGetönte Scheiben, LED-Scheinwerfer, Regensensor, Elektronische Parkbremse, Armlehne, Seitenairbag, Klimaautomatik, KopfairbagMerkenTeilen€ 23.900,-32.200 km01/202096 kW (131 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel- (l/100 km)- (g/km)",Gruppo Bossoni Spa(37),Responsabile Usato • IT-25123 Brescia,italien,23900,32200,,DS,0
Performance,Car Promotion seri professionisti al tuo servizio!,153 kW (208 PS),Gebraucht,Schaltgetriebe,Benzin,125 g/km (komb.),"ZurückWeiter1 / 15DS Automobiles DS 3 PerformanceCar Promotion seri professionisti al tuo servizio!€ 20.800,-27.900 km05/2017153 kW (208 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin5,4 l/100 km (komb.)125 g/km (komb.)",FM Car Srl(193),Francesca Lilliu • IT-47042 Cesenatico - Forlì Cesena - Fc,italien,20800,27900,"5,4",DS,0
de 4MATIC EQ-POWER,- (Erstzulassung),143 kW (194 PS),Neu,- (Getriebe),Sonstige,- (g/km),"Mercedes-Benz GLC 300 de 4MATIC EQ-POWER€ 91.726,-0 km- (Erstzulassung)143 kW (194 PS)Neu- (Fahrzeughalter)- (Getriebe)Sonstige- (l/100 km)- (g/km)",Wh Srl(248),Wh Motors • IT-43126 Parma - Pr,italien,91726,0,,Mercedes-Benz,0
2.2 t Business 150cv AT8,"Spurhalteassistent, LED-Scheinwerfer, Navigationssystem, Alufelgen, Start/Stop-Automatik, Klimaautomatik, ESP, Lederlenkrad",110 kW (150 PS),Gebraucht,Automatik,Diesel,109 g/km (komb.),"Alfa Romeo Giulia 2.2 t Business 150cv AT8Spurhalteassistent, LED-Scheinwerfer, Navigationssystem, Alufelgen, Start/Stop-Automatik, Klimaautomatik, ESP, Lederlenkrad€ 21.900,-69.321 km01/2017110 kW (150 PS)Gebraucht1 FahrzeughalterAutomatikDiesel4,2 l/100 km (komb.)109 g/km (komb.)",AG Automobili srl-Gruppo Apollonj Ghetti(215),Responsabile Vendite Reparto Usato • IT-00137 Roma - RM,italien,21900,69321,"4,2",Alfa,1
2.4 d-4d double cab Lounge 4wd,"Getönte Scheiben, Alufelgen, Zentralverriegelung mit Funkfernbedienung, Seitenairbag, Elektrische Seitenspiegel, Radio, Armlehne, Scheinwerferreinigung",110 kW (150 PS),Gebraucht,Schaltgetriebe,Diesel,185 g/km (komb.),"Toyota Hilux 2.4 d-4d double cab Lounge 4wdGetönte Scheiben, Alufelgen, Zentralverriegelung mit Funkfernbedienung, Seitenairbag, Elektrische Seitenspiegel, Radio, Armlehne, Scheinwerferreinigung€ 42.000,-75.000 km02/2019110 kW (150 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeDiesel6,7 l/100 km (komb.)185 g/km (komb.)",Autoquadrifoglio Srl(17),Giuseppe Ventura • IT-17100 Savona - Sv,italien,42000,75000,"6,7",Toyota,0
sportback 35 2.0 tdi s line edition s-tronic,- (Erstzulassung),110 kW (150 PS),Neu,Automatik,Diesel,128 g/km (komb.),"Audi A3 sportback 35 2.0 tdi s line edition s-tronic€ 51.597,-- km- (Erstzulassung)110 kW (150 PS)Neu- (Fahrzeughalter)AutomatikDiesel4,9 l/100 km (komb.)128 g/km (komb.)",Autocicognara srl(171),Gino Donadio • IT-20129 Milano - MI,italien,51597,,"4,9",Audi,0
d Automatic *NAVI *SENSORI,"AUTO CON CHILOMETRI CERTIFICATI, GARANZIA 12 MESI",85 kW (116 PS),Gebraucht,Automatik,Diesel,120 g/km (komb.),"BMW 316 d Automatic *NAVI *SENSORIAUTO CON CHILOMETRI CERTIFICATI, GARANZIA 12 MESI€ 16.500,-121.000 km10/201685 kW (116 PS)Gebraucht2 FahrzeughalterAutomatikDiesel4,6 l/100 km (komb.)120 g/km (komb.)",Ambrostore Spa(67),Ford Ambrostore • IT-20134 Milano - Mi,italien,16500,121000,"4,6",BMW,2
DS5 2.0 180cv *TAGLIANDI CERTIFICATI* *EURO6*,12 MESI DI GARANZ,133 kW (181 PS),Gebraucht,Automatik,Diesel,118 g/km (komb.),"Citroen DS5 DS5 2.0 180cv *TAGLIANDI CERTIFICATI* *EURO6*12 MESI DI GARANZ€ 12.500,-152.000 km10/2014133 kW (181 PS)Gebraucht1 FahrzeughalterAutomatikDiesel4,5 l/100 km (komb.)118 g/km (komb.)",Tomasi auto srl(59),Team Vendite Web • IT-37135 Verona - VR,italien,12500,152000,"4,5",Citroen,1
d Gran Coupe auto,BMW 420d Gran Coupe auto,140 kW (190 PS),Gebraucht,Automatik,Diesel,120 g/km (komb.),"BMW 420 d Gran Coupe autoBMW 420d Gran Coupe auto€ 25.800,-69.593 km04/2017140 kW (190 PS)Gebraucht1 FahrzeughalterAutomatikDiesel4,6 l/100 km (komb.)120 g/km (komb.)",Automille Srl(48),Resp. Vendite: Giacomo Pieri • IT-20812 Limbiate - Monza Brianza - Mb,italien,25800,69593,"4,6",BMW,1
2.0 TDI 190 CV S.TRONIC LEGGI BENE,"LED-Scheinwerfer, Sportsitze, Elektrische Seitenspiegel, ABS, Bluetooth, CD, Klimaautomatik, Wegfahrsperre",140 kW (190 PS),Gebraucht,Automatik,Diesel,149 g/km (komb.),"Audi Q5 2.0 TDI 190 CV S.TRONIC LEGGI BENELED-Scheinwerfer, Sportsitze, Elektrische Seitenspiegel, ABS, Bluetooth, CD, Klimaautomatik, Wegfahrsperre€ 16.900,-189.000 km06/2014140 kW (190 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel5,7 l/100 km (komb.)149 g/km (komb.)",Automobil Larian(10),Elisabetta Elisabetta • IT-46047 Porto Mantovano - Mantova - MN,italien,16900,189000,"5,7",Audi,0
30 1.0 tfsi,"Navigationssystem, Elektronische Parkbremse, Alufelgen, Lederlenkrad, Tempomat, 2-Zonen-Klimaautomatik, Innenspiegel automatisch abblendend, Spurhalteassistent",81 kW (110 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Audi Q2 30 1.0 tfsiNavigationssystem, Elektronische Parkbremse, Alufelgen, Lederlenkrad, Tempomat, 2-Zonen-Klimaautomatik, Innenspiegel automatisch abblendend, Spurhalteassistent€ 25.700,-18.000 km05/202181 kW (110 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin- (l/100 km)- (g/km)",Tomasi Auto Srl(1188),Team Vendite Web • IT-46040 Guidizzolo - Mantova - Mn,italien,25700,18000,,Audi,0
2.0 Hybrid E-CVT Trend - PRONTA CONSEGNA,Toyota C-HR 2.0 Hybrid E-CVT Trend - PRONTA CONSEG,135 kW (184 PS),Gebraucht,Automatik,Elektro/Benzin,- (g/km),"HybridToyota C-HR 2.0 Hybrid E-CVT Trend - PRONTA CONSEGNAToyota C-HR 2.0 Hybrid E-CVT Trend - PRONTA CONSEG€ 25.490,-23.000 km02/2020135 kW (184 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin- (l/100 km)- (g/km)",De Bona Motors Padova(83),Concessionaria Ufficiale Opel e Kia • IT-35127 Padova - Pd,italien,,23000,,Toyota,0
Model S 75 D,"Luftfederung, Allrad, Fahrerairbag, Abstandswarner, Spurhalteassistent, Beheizbares Lenkrad, Einparkhilfe Kamera, Nebelscheinwerfer",135 kW (184 PS),Gebraucht,Automatik,Elektro,0 g/km (komb.),"ElektrischTesla Model S Model S 75 DLuftfederung, Allrad, Fahrerairbag, Abstandswarner, Spurhalteassistent, Beheizbares Lenkrad, Einparkhilfe Kamera, Nebelscheinwerfer€ 44.900,-115.000 km11/2017135 kW (184 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Tomasi Auto Srl(1188),Team Vendite Web • IT-46040 Guidizzolo - Mantova - Mn,italien,,115000,,Tesla,0
d Business 4matic auto,"Touchscreen, DAB-Radio, ABS, Airbag hinten, Sportfahrwerk, Navigationssystem, Lederlenkrad, Induktionsladen für Smartphones",110 kW (150 PS),Gebraucht,Automatik,Diesel,- (g/km),"Mercedes-Benz A 200 d Business 4matic autoTouchscreen, DAB-Radio, ABS, Airbag hinten, Sportfahrwerk, Navigationssystem, Lederlenkrad, Induktionsladen für Smartphones€ 30.500,-34.600 km11/2020110 kW (150 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel4,6 l/100 km (komb.)- (g/km)",Autologica di Edoardo Calimani,Edoardo Calimani • IT-10020 Pecetto Torinese  - Torino - To,italien,30500,34600,"4,6",Mercedes-Benz,0
Coupe 6.2  2SS,03/2021,- kW (- PS),Gebraucht,Automatik,Benzin,292 g/km (komb.),"Chevrolet Coupe 6.2  2SS€ 62.500,-15.701 km03/2021- kW (- PS)Gebraucht1 FahrzeughalterAutomatikBenzin12,8 l/100 km (komb.)292 g/km (komb.)",N.T. Cars srls(6),Mirko Orlando • IT-73048 Nardò - Lecce - LE,italien,62500,15701,"12,8",Chevrolet,1
TJ 4.0 Sahara Hard+Soft Top auto c/abs,"Alufelgen, Radio, Fahrerairbag",130 kW (177 PS),Gebraucht,Automatik,Benzin,- (g/km),"Jeep Wrangler TJ 4.0 Sahara Hard+Soft Top auto c/absAlufelgen, Radio, Fahrerairbag€ 21.000,-74.000 km06/2006130 kW (177 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin13 l/100 km (komb.)- (g/km)",Rossi Srl Usato(77),Relazioni Clienti • IT-05035 Narni Scalo - Terni,italien,21000,74000,13,Jeep,0
"3.0 TFSI quattro tiptronic,","LED-Scheinwerfer, Elektrische Sitze, Einparkhilfe Sensoren hinten, Reifendruckkontrollsystem, LED-Tagfahrlicht, Radio, Start/Stop-Automatik, Sportsitze",213 kW (290 PS),Gebraucht,Halbautomatik,Benzin,204 g/km (komb.),"Audi A8 3.0 TFSI quattro tiptronic,LED-Scheinwerfer, Elektrische Sitze, Einparkhilfe Sensoren hinten, Reifendruckkontrollsystem, LED-Tagfahrlicht, Radio, Start/Stop-Automatik, Sportsitze€ 17.500,-270.000 km01/2013213 kW (290 PS)Gebraucht1 FahrzeughalterHalbautomatikBenzin8,8 l/100 km (komb.)204 g/km (komb.)",CentroautoVT Srl(232),Roberto Russo • IT-01100 Viterbo - Vt,italien,17500,270000,"8,8",Audi,1
Avant 40 tdi mhev Business Sport S line s-tronic,CONSEGNA A DOMICILIO GRATUITA IN TUTTA ITALIA,150 kW (204 PS),Gebraucht,Automatik,Elektro/Diesel,123 g/km (komb.),"HybridAudi A6 Avant 40 tdi mhev Business Sport S line s-tronicCONSEGNA A DOMICILIO GRATUITA IN TUTTA ITALIA€ 52.500,-30.000 km01/2020150 kW (204 PS)Gebraucht1 FahrzeughalterAutomatikElektro/Diesel4,7 l/100 km (komb.)123 g/km (komb.)",Latina Cars srl(109),Latina Cars • IT-04100 Latina - Lt,italien,,30000,"4,7",Audi,1
250h 2.0 Premium 2wd cvt Hybrid,SODDISFATTO O RIMBORSATO- 100 PUNTI DI CONTROLLO,112 kW (152 PS),Gebraucht,Automatik,Elektro/Benzin,97 g/km (komb.),"HybridLexus UX 250h 250h 2.0 Premium 2wd cvt HybridSODDISFATTO O RIMBORSATO- 100 PUNTI DI CONTROLLO€ 27.500,-51.590 km07/2019112 kW (152 PS)Gebraucht1 FahrzeughalterAutomatikElektro/Benzin4,3 l/100 km (komb.)97 g/km (komb.)",MS Automobili Srl(292),Matteo Ciuffreda • IT-10143 Torino - To,italien,,51590,"4,3",Lexus,1
1.5 Hybrid 130 CV Edizione Speciale,"Allrad, Beheizbares Lenkrad, Einparkhilfe selbstlenkendes System, Sitzheizung, Alufelgen, Getönte Scheiben, Spurhalteassistent, Verkehrszeichenerkennung",96 kW (131 PS),Gebraucht,Automatik,Elektro/Benzin,1 g/km (komb.),"HybridAlfa Romeo Tonale 1.5 Hybrid 130 CV Edizione SpecialeAllrad, Beheizbares Lenkrad, Einparkhilfe selbstlenkendes System, Sitzheizung, Alufelgen, Getönte Scheiben, Spurhalteassistent, Verkehrszeichenerkennung€ 42.900,-100 km08/202296 kW (131 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin1 l/100 km (komb.)1 g/km (komb.)",BMW ROMA(138),BMW Roma • IT-00138 Roma - Rm,italien,,100,1,Alfa,0
"2.5 Hybrid  155 CV ""MANUTENZIONE UFFICIALE TOYOTA""",KM CERTIFICATI - MANUTENZIONE UFFICIALE TOYOTA,114 kW (155 PS),Gebraucht,Automatik,Elektro/Benzin,131 g/km (komb.),"ZurückWeiter1 / 15 HybridToyota RAV 4 2.5 Hybrid  155 CV ""MANUTENZIONE UFFICIALE TOYOTA""KM CERTIFICATI - MANUTENZIONE UFFICIALE TOYOTAMerkenTeilen€ 26.850,-27.802 km03/2019114 kW (155 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin5,8 l/100 km (komb.)131 g/km (komb.)",Rattix Srl - Ratti Auto(43),Marta Mammone • IT-00198 Roma,italien,,27802,"5,8",Toyota,0
1.2 Hybrid Top,SUZUKI BALENO 1.2 HYBRID TOP - CERCHI IN LEGA APPL,66 kW (90 PS),Gebraucht,Schaltgetriebe,Elektro/Benzin,- (g/km),"ZurückWeiter1 / 35 HybridSuzuki Baleno 1.2 Hybrid TopSUZUKI BALENO 1.2 HYBRID TOP - CERCHI IN LEGA APPL€ 12.500,-60.672 km08/201966 kW (90 PS)Gebraucht1 FahrzeughalterSchaltgetriebeElektro/Benzin- (l/100 km)- (g/km)",Rattix srl – Ratti auto-Pescara(28),Federico Romani • IT-65124 Pescara,italien,,60672,,Suzuki,1
2.2 i-DTEC Lifestyle AT,"Promo esclusiva per te, contattaci e scoprila!",110 kW (150 PS),Gebraucht,Automatik,Diesel,180 g/km (komb.),"Honda CR-V 2.2 i-DTEC Lifestyle ATPromo esclusiva per te, contattaci e scoprila!€ 14.700,-91.427 km05/2014110 kW (150 PS)Gebraucht1 FahrzeughalterAutomatikDiesel6,8 l/100 km (komb.)180 g/km (komb.)",Enne Esse Auto - Motorexpo Brescia,Igor / Sara • IT-25080 Nuvolento - BS,italien,14700,91427,"6,8",Honda,1
1.5 ST-Line 2wd 120cv automatica,Dal 1963 sempre nella stessa se,88 kW (120 PS),Gebraucht,Automatik,Diesel,116 g/km (komb.),"Ford Kuga 1.5 ST-Line 2wd 120cv automaticaDal 1963 sempre nella stessa se€ 27.900,-27.000 km03/202188 kW (120 PS)Gebraucht1 FahrzeughalterAutomatikDiesel4,4 l/100 km (komb.)116 g/km (komb.)",CentroautoVT Srl(232),Roberto Russo • IT-01100 Viterbo - Vt,italien,27900,27000,"4,4",Ford,1
